NX_A0A075B6H9-1	ENST00000390282
NX_Q5JVG8-2	ENST00000450683
NX_Q5JVL4-1	ENST00000371068
NX_Q5JVL4-2	ENST00000637340
NX_Q5JVL4-3	ENST00000538167
NX_Q5JVL4-3	ENST00000636489
NX_Q5JVL4-3	ENST00000636954
NX_Q5JVS0-1	ENST00000375249
NX_Q5JVS0-2	ENST00000375251
NX_Q5JVX7-1	ENST00000371006
NX_Q5JVX7-1	ENST00000371007
NX_Q5JVX7-2	ENST00000621590
NX_Q5JW98-1	ENST00000368596
NX_Q5JW98-2	ENST00000368596
NX_Q5JW98-2	ENST00000368597
NX_Q5JW98-2	ENST00000405399
NX_Q5JW98-2	ENST00000628083
NX_Q5JW98-3	ENST00000368596
NX_Q5JW98-3	ENST00000405399
NX_Q5JW98-4	ENST00000628083
NX_Q5JWF2-1	ENST00000371100
NX_Q5JWF2-2	ENST00000371102
NX_Q5JWF8-1	ENST00000330271
NX_Q5JWR5-1	ENST00000349129
NX_Q5JX69-1	ENST00000371325
NX_Q5JX71-1	ENST00000371328
NX_Q5JXA9-1	ENST00000359801
NX_Q5JXA9-3	ENST00000444444
NX_Q5JXC2-1	ENST00000235332
NX_Q5JXM2-1	ENST00000338882
NX_Q5JXX5-1	ENST00000372617
NX_Q5JXX7-1	ENST00000319560
NX_Q5JY77-1	ENST00000361600
NX_Q5JY77-1	ENST00000415986
NX_Q5JY77-1	ENST00000444152
NX_Q5JY77-1	ENST00000537097
NX_Q5JYT7-1	ENST00000279024
NX_Q5JZY3-1	ENST00000373048
NX_Q5JZY3-2	ENST00000319637
NX_Q5K130-1	ENST00000378487
NX_Q5K131-1	ENST00000378485
NX_Q5K4E3-1	ENST00000268281
NX_Q5K4E3-2	ENST00000418068
NX_Q5K4E3-3	ENST00000569305
NX_Q5K4L6-1	ENST00000271857
NX_Q5K4L6-1	ENST00000368661
NX_Q5K4L6-1	ENST00000624995
NX_Q5K4L6-3	ENST00000468403
NX_Q5K651-1	ENST00000379958
NX_Q5K651-1	ENST00000620985
NX_Q5KSL6-1	ENST00000611977
NX_Q5KU26-1	ENST00000400256
NX_Q5M775-1	ENST00000261503
NX_Q5M775-1	ENST00000395527
NX_Q5M775-2	ENST00000395529
NX_Q5M775-3	ENST00000395525
NX_Q5M775-4	ENST00000395530
NX_Q5M775-5	ENST00000395522
NX_Q5M7Z0-1	ENST00000305783
NX_Q5M7Z0-2	ENST00000477207
NX_Q5M7Z0-3	ENST00000482446
NX_Q5M8T2-1	ENST00000331858
NX_Q5M9N0-1	ENST00000388914
NX_Q5M9N0-3	ENST00000434846
NX_Q5M9Q1-1	ENST00000343684
NX_Q5MAI5-1	ENST00000395035
NX_Q5MAI5-2	ENST00000378803
NX_Q5MCW4-1	ENST00000316950
NX_Q5MCW4-1	ENST00000392149
NX_Q5MCW4-2	ENST00000316950
NX_Q5MCW4-2	ENST00000392149
NX_Q5MCW4-2	ENST00000392150
NX_Q5MIZ7-1	ENST00000616407
NX_Q5MIZ7-2	ENST00000616288
NX_Q5MIZ7-3	ENST00000611717
NX_Q5MJ07-1	ENST00000375511
NX_Q5MJ08-1	ENST00000446864
NX_Q5MJ09-1	ENST00000370503
NX_Q5MJ10-1	ENST00000598475
NX_Q5MJ68-1	ENST00000377185
NX_Q5MJ70-1	ENST00000462832
NX_Q5MJ70-2	ENST00000334056
NX_Q5MJ70-2	ENST00000379579
NX_Q5MNV8-1	ENST00000378079
NX_Q5MNZ6-1	ENST00000392325
NX_Q5MNZ9-1	ENST00000262139
NX_Q5MY95-1	ENST00000371506
NX_Q5MY95-1	ENST00000472938
NX_Q5MY95-2	ENST00000344119
NX_Q5NDL2-1	ENST00000383701
NX_Q5NDL2-1	ENST00000540764
NX_Q5NDL2-3	ENST00000295571
NX_Q5NDL2-3	ENST00000540955
NX_Q5NE16-1	ENST00000354530
NX_Q5NUL3-1	ENST00000371483
NX_Q5NUL3-2	ENST00000371481
NX_Q5PR19-1	ENST00000399186
NX_Q5PRF9-1	ENST00000314471
NX_Q5PRF9-1	ENST00000610417
NX_Q5PSV4-1	ENST00000216807
NX_Q5PSV4-2	ENST00000216807
NX_Q5PSV4-2	ENST00000552677
NX_Q5PT55-1	ENST00000518568
NX_Q5QFB9-1	ENST00000445861
NX_Q5QGS0-1	ENST00000055682
NX_Q5QGS0-1	ENST00000616200
NX_Q5QGT7-1	ENST00000358241
NX_Q5QGZ9-1	ENST00000355690
NX_Q5QGZ9-2	ENST00000304361
NX_Q5QGZ9-2	ENST00000355690
NX_Q5QGZ9-3	ENST00000449959
NX_Q5QGZ9-3	ENST00000543839
NX_Q5QGZ9-4	ENST00000350667
NX_Q5QGZ9-5	ENST00000434319
NX_Q5QJ38-1	ENST00000368806
NX_Q5QJ74-1	ENST00000422003
NX_Q5QJ74-1	ENST00000529397
NX_Q5QJE6-1	ENST00000436063
NX_Q5QJU3-1	ENST00000340967
NX_Q5QJU3-2	ENST00000340967
NX_Q5QNW6-1	ENST00000369167
NX_Q5QNW6-2	ENST00000545683
NX_Q5QP82-1	ENST00000377724
NX_Q5R372-1	ENST00000251507
NX_Q5R372-2	ENST00000357444
NX_Q5R372-5	ENST00000347255
NX_Q5R372-6	ENST00000367687
NX_Q5R372-7	ENST00000325589
NX_Q5R372-7	ENST00000347255
NX_Q5R372-7	ENST00000367687
NX_Q5R372-8	ENST00000489615
NX_Q5R372-9	ENST00000469553
NX_Q5R372-9	ENST00000478442
NX_Q5R372-9	ENST00000486220
NX_Q5R387-1	ENST00000429261
NX_Q5R3F8-1	ENST00000402918
NX_Q5R3F8-1	ENST00000613079
NX_Q5R3I4-1	ENST00000381031
NX_Q5R3K3-1	ENST00000368605
NX_Q5R3K3-2	ENST00000368606
NX_Q5RGS3-1	ENST00000465257
NX_Q5RHP9-1	ENST00000326665
NX_Q5RHP9-2	ENST00000326665
NX_Q5RHP9-3	ENST00000420661
NX_Q5RI15-1	ENST00000411948
NX_Q5RI15-2	ENST00000366528
NX_Q5RIA9-1	ENST00000382405
NX_Q5RIA9-2	ENST00000377389
NX_Q5RIA9-2	ENST00000377392
NX_Q5RIA9-2	ENST00000377395
NX_Q5RIA9-2	ENST00000382405
NX_Q5RIA9-2	ENST00000429800
NX_Q5RIA9-2	ENST00000430059
NX_Q5RIA9-2	ENST00000480229
NX_Q5RIA9-2	ENST00000486221
NX_Q5RIA9-2	ENST00000489273
NX_Q5RIA9-2	ENST00000497250
NX_Q5RIA9-3	ENST00000377395
NX_Q5RKV6-1	ENST00000435634
NX_Q5RL73-1	ENST00000265732
NX_Q5RL73-2	ENST00000481551
NX_Q5S007-1	ENST00000298910
NX_Q5SGD2-1	ENST00000498165
NX_Q5SGD2-2	ENST00000295839
NX_Q5SGD2-2	ENST00000464260
NX_Q5SGD2-2	ENST00000498165
NX_Q5SGD2-3	ENST00000295839
NX_Q5SGD2-4	ENST00000497343
NX_Q5SNT2-1	ENST00000340381
NX_Q5SNT2-2	ENST00000340305
NX_Q5SNV9-1	ENST00000433342
NX_Q5SQ13-1	ENST00000371629
NX_Q5SQ64-1	ENST00000375832
NX_Q5SQ80-1	ENST00000377601
NX_Q5SQH8-1	ENST00000376473
NX_Q5SQH8-2	ENST00000293604
NX_Q5SQH8-2	ENST00000376473
NX_Q5SQH8-2	ENST00000446773
NX_Q5SQH8-3	ENST00000376471
NX_Q5SQH8-4	ENST00000293604
NX_Q5SQI0-1	ENST00000376485
NX_Q5SQI0-2	ENST00000330083
NX_Q5SQI0-4	ENST00000329992
NX_Q5SQI0-5	ENST00000376483
NX_Q5SQI0-6	ENST00000319027
NX_Q5SQI0-7	ENST00000318999
NX_Q5SQN1-1	ENST00000315781
NX_Q5SQN1-1	ENST00000366759
NX_Q5SQN1-3	ENST00000418653
NX_Q5SQN1-3	ENST00000426344
NX_Q5SQN1-4	ENST00000315781
NX_Q5SQN1-4	ENST00000366759
NX_Q5SQN1-4	ENST00000366760
NX_Q5SQN1-4	ENST00000617596
NX_Q5SQQ9-1	ENST00000369206
NX_Q5SQQ9-2	ENST00000277905
NX_Q5SQS7-2	ENST00000339284
NX_Q5SQS7-3	ENST00000313455
NX_Q5SQS8-1	ENST00000329446
NX_Q5SR53-1	ENST00000377320
NX_Q5SR56-1	ENST00000375344
NX_Q5SRE5-1	ENST00000372577
NX_Q5SRE7-1	ENST00000372592
NX_Q5SRE7-2	ENST00000353176
NX_Q5SRE7-2	ENST00000421063
NX_Q5SRE7-3	ENST00000308941
NX_Q5SRH9-1	ENST00000447632
NX_Q5SRH9-2	ENST00000262675
NX_Q5SRH9-2	ENST00000371750
NX_Q5SRH9-2	ENST00000413473
NX_Q5SRH9-2	ENST00000447632
NX_Q5SRH9-2	ENST00000530004
NX_Q5SRH9-3	ENST00000262676
NX_Q5SRH9-4	ENST00000413473
NX_Q5SRH9-6	ENST00000371750
NX_Q5SRI9-1	ENST00000358812
NX_Q5SRN2-1	ENST00000447241
NX_Q5SRN2-1	ENST00000612031
NX_Q5SRN2-2	ENST00000375015
NX_Q5SRN2-3	ENST00000533191
NX_Q5SRR4-1	ENST00000383237
NX_Q5SSG8-1	ENST00000376296
NX_Q5SSJ5-1	ENST00000312239
NX_Q5SSJ5-2	ENST00000312239
NX_Q5SSJ5-3	ENST00000312239
NX_Q5SSJ5-3	ENST00000375003
NX_Q5SSJ5-5	ENST00000375000
NX_Q5SSQ6-1	ENST00000425424
NX_Q5SSQ6-2	ENST00000415669
NX_Q5ST30-1	ENST00000321897
NX_Q5ST30-1	ENST00000541562
NX_Q5ST30-2	ENST00000469358
NX_Q5ST30-3	ENST00000321897
NX_Q5ST30-3	ENST00000541562
NX_Q5ST30-3	ENST00000625423
NX_Q5ST30-4	ENST00000541562
NX_Q5SV17-1	ENST00000378733
NX_Q5SV17-1	ENST00000425828
NX_Q5SV97-1	ENST00000433179
NX_Q5SV97-2	ENST00000341290
NX_Q5SV97-2	ENST00000433179
NX_Q5SV97-3	ENST00000341290
NX_Q5SVJ3-1	ENST00000308105
NX_Q5SVJ3-2	ENST00000366537
NX_Q5SVQ8-1	ENST00000367405
NX_Q5SVQ8-2	ENST00000467322
NX_Q5SVS4-1	ENST00000519676
NX_Q5SVS4-2	ENST00000519676
NX_Q5SVS4-2	ENST00000539591
NX_Q5SVZ6-1	ENST00000359858
NX_Q5SVZ6-1	ENST00000373330
NX_Q5SVZ6-1	ENST00000611874
NX_Q5SW24-1	ENST00000366795
NX_Q5SW24-2	ENST00000366795
NX_Q5SW24-2	ENST00000610183
NX_Q5SW24-3	ENST00000366795
NX_Q5SW24-3	ENST00000607983
NX_Q5SW24-3	ENST00000610183
NX_Q5SW24-4	ENST00000366796
NX_Q5SW79-1	ENST00000366542
NX_Q5SW79-2	ENST00000366543
NX_Q5SW79-3	ENST00000366544
NX_Q5SW96-1	ENST00000374338
NX_Q5SWA1-1	ENST00000367188
NX_Q5SWH9-1	ENST00000372025
NX_Q5SWW7-1	ENST00000412307
NX_Q5SWX8-1	ENST00000287859
NX_Q5SWX8-2	ENST00000367470
NX_Q5SWX8-4	ENST00000419367
NX_Q5SXH7-3	ENST00000369312
NX_Q5SXH7-3	ENST00000619563
NX_Q5SXH7-4	ENST00000361048
NX_Q5SXH7-5	ENST00000369310
NX_Q5SXM1-1	ENST00000343776
NX_Q5SXM1-1	ENST00000397097
NX_Q5SXM2-1	ENST00000298532
NX_Q5SXM8-1	ENST00000371738
NX_Q5SY13-1	ENST00000371813
NX_Q5SY16-1	ENST00000377705
NX_Q5SY68-1	ENST00000368725
NX_Q5SY80-1	ENST00000366534
NX_Q5SY80-2	ENST00000366533
NX_Q5SY80-3	ENST00000366531
NX_Q5SY80-3	ENST00000366534
NX_Q5SY85-1	ENST00000377680
NX_Q5SYB0-1	ENST00000377765
NX_Q5SYB0-1	ENST00000539465
NX_Q5SYC1-1	ENST00000275162
NX_Q5SYC1-2	ENST00000275162
NX_Q5SYC1-2	ENST00000368438
NX_Q5SYE7-1	ENST00000427025
NX_Q5SYE7-2	ENST00000343505
NX_Q5SZB4-1	ENST00000372478
NX_Q5SZD1-1	ENST00000371194
NX_Q5SZD1-1	ENST00000414696
NX_Q5SZD1-1	ENST00000529246
NX_Q5SZD4-1	ENST00000371197
NX_Q5SZI1-1	ENST00000344642
NX_Q5SZI1-1	ENST00000543870
NX_Q5SZJ8-1	ENST00000370746
NX_Q5SZJ8-2	ENST00000370748
NX_Q5SZK8-1	ENST00000280481
NX_Q5SZL2-1	ENST00000368491
NX_Q5SZL2-2	ENST00000392500
NX_Q5SZL2-3	ENST00000360290
NX_Q5SZL2-3	ENST00000392500
NX_Q5SZL2-3	ENST00000419517
NX_Q5SZL2-4	ENST00000368488
NX_Q5SZL2-5	ENST00000419517
NX_Q5SZQ8-1	ENST00000290583
NX_Q5SZQ8-4	ENST00000290585
NX_Q5T011-1	ENST00000634258
NX_Q5T011-5	ENST00000562955
NX_Q5T011-7	ENST00000372450
NX_Q5T013-1	ENST00000372425
NX_Q5T013-2	ENST00000372432
NX_Q5T013-3	ENST00000372432
NX_Q5T013-4	ENST00000372425
NX_Q5T013-4	ENST00000372430
NX_Q5T035-1	ENST00000375419
NX_Q5T036-1	ENST00000375412
NX_Q5T089-1	ENST00000378531
NX_Q5T089-2	ENST00000378529
NX_Q5T0B9-1	ENST00000373428
NX_Q5T0B9-1	ENST00000539719
NX_Q5T0D9-1	ENST00000378344
NX_Q5T0D9-2	ENST00000344579
NX_Q5T0F9-1	ENST00000371586
NX_Q5T0F9-2	ENST00000284376
NX_Q5T0F9-3	ENST00000438021
NX_Q5T0F9-4	ENST00000491136
NX_Q5T0J3-1	ENST00000521244
NX_Q5T0J7-1	ENST00000319416
NX_Q5T0J7-2	ENST00000367639
NX_Q5T0J7-3	ENST00000367641
NX_Q5T0J7-4	ENST00000419909
NX_Q5T0J7-5	ENST00000367643
NX_Q5T0L3-1	ENST00000367935
NX_Q5T0N1-1	ENST00000310715
NX_Q5T0N1-3	ENST00000493787
NX_Q5T0N1-6	ENST00000433268
NX_Q5T0N1-6	ENST00000462684
NX_Q5T0N1-7	ENST00000310715
NX_Q5T0N1-7	ENST00000355577
NX_Q5T0N1-7	ENST00000495161
NX_Q5T0N5-1	ENST00000271234
NX_Q5T0N5-3	ENST00000370253
NX_Q5T0N5-4	ENST00000260506
NX_Q5T0T0-1	ENST00000319836
NX_Q5T0T0-1	ENST00000395769
NX_Q5T0T0-2	ENST00000453424
NX_Q5T0U0-1	ENST00000444614
NX_Q5T0U0-2	ENST00000476570
NX_Q5T0W9-1	ENST00000306858
NX_Q5T0Z8-1	ENST00000341865
NX_Q5T0Z8-2	ENST00000356542
NX_Q5T124-1	ENST00000374221
NX_Q5T124-1	ENST00000374222
NX_Q5T124-2	ENST00000357089
NX_Q5T124-2	ENST00000374217
NX_Q5T124-3	ENST00000314675
NX_Q5T124-4	ENST00000374221
NX_Q5T124-4	ENST00000374222
NX_Q5T124-5	ENST00000314675
NX_Q5T124-5	ENST00000357089
NX_Q5T124-5	ENST00000374217
NX_Q5T124-5	ENST00000374221
NX_Q5T124-5	ENST00000374222
NX_Q5T124-5	ENST00000374223
NX_Q5T124-5	ENST00000472155
NX_Q5T124-5	ENST00000475591
NX_Q5T124-5	ENST00000494942
NX_Q5T124-6	ENST00000472155
NX_Q5T124-7	ENST00000475591
NX_Q5T124-8	ENST00000357089
NX_Q5T124-8	ENST00000374217
NX_Q5T124-8	ENST00000374221
NX_Q5T124-8	ENST00000374222
NX_Q5T160-1	ENST00000369536
NX_Q5T197-1	ENST00000295542
NX_Q5T197-2	ENST00000368419
NX_Q5T197-3	ENST00000423025
NX_Q5T1A1-1	ENST00000368424
NX_Q5T1A1-2	ENST00000485982
NX_Q5T1B0-1	ENST00000367618
NX_Q5T1B0-2	ENST00000461179
NX_Q5T1B0-3	ENST00000484883
NX_Q5T1B1-1	ENST00000321248
NX_Q5T1B1-1	ENST00000392630
NX_Q5T1C6-1	ENST00000368814
NX_Q5T1H1-1	ENST00000503581
NX_Q5T1H1-2	ENST00000342421
NX_Q5T1H1-3	ENST00000370621
NX_Q5T1H1-4	ENST00000393380
NX_Q5T1J5-1	ENST00000461726
NX_Q5T1J6-1	ENST00000376398
NX_Q5T1M5-1	ENST00000238256
NX_Q5T1M5-1	ENST00000446284
NX_Q5T1M5-3	ENST00000414250
NX_Q5T1N1-1	ENST00000370001
NX_Q5T1N1-2	ENST00000472781
NX_Q5T1N1-3	ENST00000474186
NX_Q5T1N1-4	ENST00000369995
NX_Q5T1Q4-1	ENST00000360388
NX_Q5T1Q4-2	ENST00000360388
NX_Q5T1Q4-2	ENST00000621341
NX_Q5T1R4-1	ENST00000372583
NX_Q5T1R4-2	ENST00000372584
NX_Q5T1S8-1	ENST00000374392
NX_Q5T1V6-1	ENST00000331314
NX_Q5T1V6-2	ENST00000447706
NX_Q5T200-1	ENST00000242848
NX_Q5T200-2	ENST00000282007
NX_Q5T215-1	ENST00000368602
NX_Q5T215-2	ENST00000356128
NX_Q5T215-2	ENST00000368602
NX_Q5T215-2	ENST00000437098
NX_Q5T230-1	ENST00000304477
NX_Q5T280-1	ENST00000361256
NX_Q5T292-1	ENST00000474718
NX_Q5T292-3	ENST00000374148
NX_Q5T292-4	ENST00000374153
NX_Q5T2D2-1	ENST00000483722
NX_Q5T2D3-1	ENST00000375120
NX_Q5T2E6-1	ENST00000370033
NX_Q5T2E6-2	ENST00000370033
NX_Q5T2L2-1	ENST00000578467
NX_Q5T2L2-1	ENST00000584929
NX_Q5T2N8-1	ENST00000378785
NX_Q5T2R2-1	ENST00000376215
NX_Q5T2S8-1	ENST00000305242
NX_Q5T2T1-1	ENST00000337532
NX_Q5T2T1-1	ENST00000375719
NX_Q5T2T1-1	ENST00000375732
NX_Q5T2W1-1	ENST00000344770
NX_Q5T2W1-1	ENST00000417171
NX_Q5T2W1-2	ENST00000451928
NX_Q5T319-1	ENST00000376403
NX_Q5T319-2	ENST00000478164
NX_Q5T3F8-1	ENST00000259746
NX_Q5T3F8-1	ENST00000323267
NX_Q5T3F8-2	ENST00000534326
NX_Q5T3I0-2	ENST00000473910
NX_Q5T3J3-1	ENST00000369763
NX_Q5T3J3-2	ENST00000369763
NX_Q5T3J3-2	ENST00000485275
NX_Q5T3J3-2	ENST00000494675
NX_Q5T3U5-1	ENST00000372530
NX_Q5T3U5-2	ENST00000244533
NX_Q5T3Y7-1	ENST00000369122
NX_Q5T440-1	ENST00000366711
NX_Q5T442-1	ENST00000366714
NX_Q5T447-1	ENST00000372172
NX_Q5T447-2	ENST00000372168
NX_Q5T481-1	ENST00000369519
NX_Q5T4B2-1	ENST00000372838
NX_Q5T4B2-2	ENST00000372838
NX_Q5T4B2-2	ENST00000372842
NX_Q5T4D3-1	ENST00000342624
NX_Q5T4D3-1	ENST00000376234
NX_Q5T4D3-3	ENST00000342624
NX_Q5T4D3-4	ENST00000328767
NX_Q5T4F4-1	ENST00000393677
NX_Q5T4F4-2	ENST00000359980
NX_Q5T4F4-3	ENST00000423811
NX_Q5T4F4-5	ENST00000357540
NX_Q5T4F4-6	ENST00000370613
NX_Q5T4F4-7	ENST00000370610
NX_Q5T4F4-8	ENST00000337540
NX_Q5T4F7-1	ENST00000266066
NX_Q5T4H9-1	ENST00000377113
NX_Q5T4I8-1	ENST00000259983
NX_Q5T4I8-1	ENST00000426700
NX_Q5T4I8-2	ENST00000259983
NX_Q5T4I8-2	ENST00000379586
NX_Q5T4I8-2	ENST00000426700
NX_Q5T4S7-1	ENST00000375254
NX_Q5T4S7-6	ENST00000375218
NX_Q5T4T1-1	ENST00000379426
NX_Q5T4T6-1	ENST00000283141
NX_Q5T4T6-2	ENST00000341041
NX_Q5T4W7-1	ENST00000372354
NX_Q5T4W7-1	ENST00000372359
NX_Q5T4W7-2	ENST00000438616
NX_Q5T4W7-3	ENST00000414809
NX_Q5T4W7-3	ENST00000498139
NX_Q5T5A4-1	ENST00000369948
NX_Q5T5A4-2	ENST00000369949
NX_Q5T5A8-1	ENST00000333881
NX_Q5T5B0-1	ENST00000368789
NX_Q5T5C0-1	ENST00000321680
NX_Q5T5C0-2	ENST00000367481
NX_Q5T5C0-3	ENST00000367480
NX_Q5T5D7-1	ENST00000372699
NX_Q5T5F5-1	ENST00000369035
NX_Q5T5F5-1	ENST00000615012
NX_Q5T5J6-1	ENST00000367500
NX_Q5T5J6-1	ENST00000367501
NX_Q5T5M9-1	ENST00000265992
NX_Q5T5M9-2	ENST00000403870
NX_Q5T5M9-3	ENST00000465148
NX_Q5T5N4-1	ENST00000230301
NX_Q5T5P2-10	ENST00000376452
NX_Q5T5P2-1	ENST00000376454
NX_Q5T5P2-2	ENST00000430453
NX_Q5T5P2-3	ENST00000376451
NX_Q5T5P2-4	ENST00000396446
NX_Q5T5P2-6	ENST00000307544
NX_Q5T5P2-7	ENST00000458595
NX_Q5T5P2-8	ENST00000396445
NX_Q5T5P2-9	ENST00000376462
NX_Q5T5P2-9	ENST00000430453
NX_Q5T5S1-1	ENST00000338005
NX_Q5T5S1-4	ENST00000430612
NX_Q5T5U3-1	ENST00000396432
NX_Q5T5U3-3	ENST00000376410
NX_Q5T5X7-1	ENST00000369042
NX_Q5T5X7-1	ENST00000429433
NX_Q5T5Y3-1	ENST00000389532
NX_Q5T5Y3-2	ENST00000312405
NX_Q5T5Y3-2	ENST00000389532
NX_Q5T5Y3-2	ENST00000409386
NX_Q5T5Y3-3	ENST00000409386
NX_Q5T601-1	ENST00000371253
NX_Q5T601-2	ENST00000371243
NX_Q5T619-1	ENST00000339948
NX_Q5T653-1	ENST00000388752
NX_Q5T655-1	ENST00000369704
NX_Q5T681-1	ENST00000370640
NX_Q5T686-1	ENST00000370626
NX_Q5T6C5-1	ENST00000369870
NX_Q5T6F0-1	ENST00000361264
NX_Q5T6F2-1	ENST00000360802
NX_Q5T6F2-1	ENST00000379238
NX_Q5T6F2-2	ENST00000360802
NX_Q5T6F2-2	ENST00000379238
NX_Q5T6F2-2	ENST00000379239
NX_Q5T6F2-2	ENST00000629575
NX_Q5T6J7-1	ENST00000376419
NX_Q5T6J7-3	ENST00000376419
NX_Q5T6J7-3	ENST00000405990
NX_Q5T6J7-3	ENST00000454393
NX_Q5T6J7-3	ENST00000533522
NX_Q5T6L9-1	ENST00000366773
NX_Q5T6L9-2	ENST00000418781
NX_Q5T6L9-3	ENST00000366772
NX_Q5T6L9-4	ENST00000366773
NX_Q5T6L9-4	ENST00000392095
NX_Q5T6M2-1	ENST00000437615
NX_Q5T6R2-1	ENST00000429698
NX_Q5T6S3-1	ENST00000373896
NX_Q5T6S3-1	ENST00000616568
NX_Q5T6S3-2	ENST00000312189
NX_Q5T6V5-1	ENST00000376344
NX_Q5T6X4-1	ENST00000368557
NX_Q5T6X5-1	ENST00000310357
NX_Q5T6X5-2	ENST00000530250
NX_Q5T6X5-3	ENST00000368549
NX_Q5T700-1	ENST00000371360
NX_Q5T700-2	ENST00000420619
NX_Q5T700-3	ENST00000371362
NX_Q5T700-4	ENST00000545928
NX_Q5T742-1	ENST00000625168
NX_Q5T749-1	ENST00000606109
NX_Q5T750-1	ENST00000368775
NX_Q5T751-1	ENST00000607093
NX_Q5T752-1	ENST00000326233
NX_Q5T753-1	ENST00000368770
NX_Q5T753-1	ENST00000368771
NX_Q5T754-1	ENST00000334371
NX_Q5T764-1	ENST00000371809
NX_Q5T7B8-1	ENST00000402558
NX_Q5T7B8-2	ENST00000379174
NX_Q5T7M4-1	ENST00000330388
NX_Q5T7M9-1	ENST00000370310
NX_Q5T7M9-2	ENST00000615519
NX_Q5T7N2-1	ENST00000498273
NX_Q5T7N3-1	ENST00000371153
NX_Q5T7N3-2	ENST00000354381
NX_Q5T7P2-1	ENST00000335123
NX_Q5T7P3-1	ENST00000360090
NX_Q5T7P6-1	ENST00000323223
NX_Q5T7P8-1	ENST00000610222
NX_Q5T7P8-2	ENST00000369547
NX_Q5T7P8-2	ENST00000607941
NX_Q5T7P8-2	ENST00000609117
NX_Q5T7P8-2	ENST00000610096
NX_Q5T7P8-2	ENST00000610222
NX_Q5T7R7-1	ENST00000371759
NX_Q5T7V8-1	ENST00000367763
NX_Q5T7V8-2	ENST00000367762
NX_Q5T7V8-3	ENST00000367763
NX_Q5T7V8-3	ENST00000498166
NX_Q5T7V8-4	ENST00000367763
NX_Q5T7V8-4	ENST00000498166
NX_Q5T7W0-1	ENST00000374126
NX_Q5T7W0-2	ENST00000288466
NX_Q5T7W0-4	ENST00000615615
NX_Q5T7W7-1	ENST00000341170
NX_Q5T7W7-2	ENST00000375165
NX_Q5T848-1	ENST00000376351
NX_Q5T870-1	ENST00000368744
NX_Q5T871-1	ENST00000368747
NX_Q5T890-2	ENST00000288985
NX_Q5T890-3	ENST00000466840
NX_Q5T8A7-1	ENST00000356818
NX_Q5T8A7-1	ENST00000401470
NX_Q5T8A7-1	ENST00000604351
NX_Q5T8A7-1	ENST00000605286
NX_Q5T8A7-1	ENST00000605660
NX_Q5T8D3-1	ENST00000375888
NX_Q5T8D3-2	ENST00000375897
NX_Q5T8D3-2	ENST00000375905
NX_Q5T8D3-2	ENST00000396271
NX_Q5T8D3-3	ENST00000396271
NX_Q5T8D3-4	ENST00000375897
NX_Q5T8D3-4	ENST00000375901
NX_Q5T8D3-4	ENST00000375905
NX_Q5T8D3-4	ENST00000396271
NX_Q5T8I3-1	ENST00000370035
NX_Q5T8I3-2	ENST00000405454
NX_Q5T8I9-1	ENST00000370032
NX_Q5T8I9-1	ENST00000402983
NX_Q5T8P6-1	ENST00000438737
NX_Q5T8P6-2	ENST00000438724
NX_Q5T8P6-3	ENST00000267229
NX_Q5T8P6-4	ENST00000622611
NX_Q5T8P6-5	ENST00000267229
NX_Q5T8P6-6	ENST00000472143
NX_Q5T8R8-1	ENST00000382387
NX_Q5T953-1	ENST00000372491
NX_Q5T9A4-1	ENST00000308647
NX_Q5T9A4-3	ENST00000472194
NX_Q5T9C2-1	ENST00000373095
NX_Q5T9C2-3	ENST00000373084
NX_Q5T9C2-3	ENST00000373095
NX_Q5T9C9-1	ENST00000388747
NX_Q5T9C9-2	ENST00000300432
NX_Q5T9C9-2	ENST00000388747
NX_Q5T9G4-1	ENST00000373866
NX_Q5T9G4-2	ENST00000288065
NX_Q5T9G4-3	ENST00000373869
NX_Q5T9L3-1	ENST00000262348
NX_Q5T9L3-2	ENST00000354777
NX_Q5T9L3-3	ENST00000370976
NX_Q5T9S5-1	ENST00000343253
NX_Q5T9S5-1	ENST00000370276
NX_Q5T9Z0-1	ENST00000367565
NX_Q5TA45-1	ENST00000435064
NX_Q5TA45-2	ENST00000419704
NX_Q5TA45-3	ENST00000450926
NX_Q5TA45-4	ENST00000435064
NX_Q5TA45-4	ENST00000458452
NX_Q5TA45-4	ENST00000527098
NX_Q5TA45-4	ENST00000540437
NX_Q5TA45-4	ENST00000545578
NX_Q5TA45-5	ENST00000458452
NX_Q5TA45-5	ENST00000540437
NX_Q5TA50-1	ENST00000343938
NX_Q5TA76-1	ENST00000335674
NX_Q5TA77-1	ENST00000335633
NX_Q5TA78-1	ENST00000335535
NX_Q5TA78-1	ENST00000368777
NX_Q5TA79-1	ENST00000368779
NX_Q5TA81-1	ENST00000368783
NX_Q5TA82-1	ENST00000368784
NX_Q5TA89-1	ENST00000378453
NX_Q5TAA0-1	ENST00000371276
NX_Q5TAA0-2	ENST00000371274
NX_Q5TAB7-1	ENST00000369689
NX_Q5TAB7-2	ENST00000369687
NX_Q5TAB7-2	ENST00000369689
NX_Q5TAG4-1	ENST00000611443
NX_Q5TAG4-1	ENST00000617844
NX_Q5TAG4-1	ENST00000617864
NX_Q5TAG4-1	ENST00000617931
NX_Q5TAH2-1	ENST00000367714
NX_Q5TAP6-1	ENST00000521776
