NX_A0A075B6H9-1	ENSP00000374817
NX_Q8N264-2	ENSP00000264343
NX_Q8N264-3	ENSP00000378610
NX_Q8N264-3	ENSP00000378611
NX_Q8N264-4	ENSP00000423206
NX_Q8N271-1	ENSP00000318270
NX_Q8N271-1	ENSP00000318520
NX_Q8N271-1	ENSP00000385716
NX_Q8N271-3	ENSP00000318270
NX_Q8N271-3	ENSP00000318520
NX_Q8N271-3	ENSP00000385716
NX_Q8N271-3	ENSP00000402753
NX_Q8N283-1	ENSP00000347802
NX_Q8N292-1	ENSP00000323075
NX_Q8N292-1	ENSP00000379997
NX_Q8N2A8-1	ENSP00000317177
NX_Q8N2C3-1	ENSP00000367490
NX_Q8N2C3-1	ENSP00000396234
NX_Q8N2C3-2	ENSP00000299185
NX_Q8N2C3-2	ENSP00000447392
NX_Q8N2C7-1	ENSP00000391088
NX_Q8N2C7-5	ENSP00000272845
NX_Q8N2C7-6	ENSP00000335576
NX_Q8N2C7-7	ENSP00000272845
NX_Q8N2E2-1	ENSP00000275358
NX_Q8N2E2-3	ENSP00000275358
NX_Q8N2E2-3	ENSP00000428810
NX_Q8N2E6-1	ENSP00000338317
NX_Q8N2F6-1	ENSP00000319412
NX_Q8N2F6-2	ENSP00000413619
NX_Q8N2F6-3	ENSP00000396654
NX_Q8N2F6-4	ENSP00000405612
NX_Q8N2F6-5	ENSP00000397969
NX_Q8N2F6-6	ENSP00000440463
NX_Q8N2G4-1	ENSP00000380605
NX_Q8N2G4-4	ENSP00000340563
NX_Q8N2G4-4	ENSP00000380605
NX_Q8N2G6-1	ENSP00000361411
NX_Q8N2G8-1	ENSP00000301671
NX_Q8N2G8-1	ENSP00000467585
NX_Q8N2G8-2	ENSP00000399952
NX_Q8N2G8-2	ENSP00000410945
NX_Q8N2H3-1	ENSP00000359607
NX_Q8N2H4-1	ENSP00000243918
NX_Q8N2H4-1	ENSP00000361812
NX_Q8N2H4-2	ENSP00000416506
NX_Q8N2H9-1	ENSP00000322532
NX_Q8N2H9-2	ENSP00000309848
NX_Q8N2H9-3	ENSP00000484220
NX_Q8N2H9-4	ENSP00000434677
NX_Q8N2I2-1	ENSP00000322529
NX_Q8N2I2-2	ENSP00000397232
NX_Q8N2I2-3	ENSP00000388710
NX_Q8N2I2-4	ENSP00000411132
NX_Q8N2I2-4	ENSP00000430705
NX_Q8N2I9-1	ENSP00000362221
NX_Q8N2I9-1	ENSP00000362224
NX_Q8N2I9-3	ENSP00000352245
NX_Q8N2I9-4	ENSP00000362222
NX_Q8N2K0-1	ENSP00000341408
NX_Q8N2K0-2	ENSP00000365725
NX_Q8N2K1-1	ENSP00000305826
NX_Q8N2K1-1	ENSP00000353653
NX_Q8N2K1-2	ENSP00000407565
NX_Q8N2K1-3	ENSP00000383719
NX_Q8N2M4-1	ENSP00000280734
NX_Q8N2M8-1	ENSP00000221455
NX_Q8N2M8-3	ENSP00000375814
NX_Q8N2M8-4	ENSP00000375815
NX_Q8N2N9-1	ENSP00000477778
NX_Q8N2N9-1	ENSP00000481149
NX_Q8N2N9-4	ENSP00000482644
NX_Q8N2Q7-2	ENSP00000354541
NX_Q8N2Q7-2	ENSP00000392500
NX_Q8N2R0-1	ENSP00000297565
NX_Q8N2R0-1	ENSP00000414657
NX_Q8N2R0-1	ENSP00000430780
NX_Q8N2R0-2	ENSP00000402862
NX_Q8N2R0-3	ENSP00000414657
NX_Q8N2R0-3	ENSP00000430780
NX_Q8N2R8-1	ENSP00000371397
NX_Q8N2S1-1	ENSP00000311905
NX_Q8N2S1-2	ENSP00000380031
NX_Q8N2U0-1	ENSP00000301939
NX_Q8N2U9-1	ENSP00000380880
NX_Q8N2U9-2	ENSP00000350188
NX_Q8N2U9-3	ENSP00000465546
NX_Q8N2W9-1	ENSP00000262971
NX_Q8N2Y8-1	ENSP00000355177
NX_Q8N2Y8-1	ENSP00000393922
NX_Q8N2Z9-1	ENSP00000308583
NX_Q8N300-1	ENSP00000361599
NX_Q8N300-1	ENSP00000361600
NX_Q8N302-1	ENSP00000316109
NX_Q8N302-3	ENSP00000424733
NX_Q8N307-1	ENSP00000414350
NX_Q8N307-3	ENSP00000405629
NX_Q8N307-3	ENSP00000414350
NX_Q8N309-1	ENSP00000344233
NX_Q8N309-2	ENSP00000344233
NX_Q8N319-3	ENSP00000426159
NX_Q8N319-4	ENSP00000423262
NX_Q8N323-1	ENSP00000411690
NX_Q8N323-2	ENSP00000251921
NX_Q8N323-2	ENSP00000411690
NX_Q8N328-1	ENSP00000363242
NX_Q8N335-1	ENSP00000282541
NX_Q8N336-1	ENSP00000265840
NX_Q8N336-2	ENSP00000412257
NX_Q8N336-3	ENSP00000412257
NX_Q8N339-1	ENSP00000369146
NX_Q8N344-1	ENSP00000264819
NX_Q8N349-1	ENSP00000350836
NX_Q8N350-4	ENSP00000465260
NX_Q8N357-1	ENSP00000345528
NX_Q8N365-1	ENSP00000290363
NX_Q8N365-1	ENSP00000358091
NX_Q8N370-1	ENSP00000301335
NX_Q8N370-3	ENSP00000461382
NX_Q8N370-4	ENSP00000408284
NX_Q8N371-1	ENSP00000286096
NX_Q8N371-1	ENSP00000398410
NX_Q8N371-2	ENSP00000456901
NX_Q8N371-3	ENSP00000398410
NX_Q8N386-1	ENSP00000340983
NX_Q8N386-1	ENSP00000472290
NX_Q8N387-1	ENSP00000397339
NX_Q8N387-1	ENSP00000416753
NX_Q8N387-1	ENSP00000431983
NX_Q8N387-2	ENSP00000281268
NX_Q8N387-2	ENSP00000431945
NX_Q8N392-1	ENSP00000357131
NX_Q8N392-2	ENSP00000357131
NX_Q8N393-1	ENSP00000417470
NX_Q8N393-2	ENSP00000417470
NX_Q8N394-1	ENSP00000322300
NX_Q8N398-2	ENSP00000398688
NX_Q8N3A8-1	ENSP00000281631
NX_Q8N3A8-1	ENSP00000422217
NX_Q8N3A8-2	ENSP00000424814
NX_Q8N3C0-1	ENSP00000358159
NX_Q8N3C0-3	ENSP00000358139
NX_Q8N3C0-4	ENSP00000430769
NX_Q8N3C7-1	ENSP00000327009
NX_Q8N3C7-1	ENSP00000385594
NX_Q8N3C7-3	ENSP00000384242
NX_Q8N3C7-4	ENSP00000399029
NX_Q8N3C7-4	ENSP00000414417
NX_Q8N3D4-1	ENSP00000312671
NX_Q8N3E9-1	ENSP00000479636
NX_Q8N3F0-1	ENSP00000324204
NX_Q8N3F0-3	ENSP00000324755
NX_Q8N3F0-4	ENSP00000386490
NX_Q8N3F8-1	ENSP00000215957
NX_Q8N3F9-1	ENSP00000315106
NX_Q8N3G9-1	ENSP00000413163
NX_Q8N3G9-2	ENSP00000341256
NX_Q8N3G9-3	ENSP00000330262
NX_Q8N3H0-1	ENSP00000393987
NX_Q8N3H0-1	ENSP00000447305
NX_Q8N3H0-2	ENSP00000393987
NX_Q8N3H0-2	ENSP00000447305
NX_Q8N3H0-2	ENSP00000449457
NX_Q8N3I7-1	ENSP00000295240
NX_Q8N3I7-2	ENSP00000376431
NX_Q8N3J2-1	ENSP00000458290
NX_Q8N3J3-1	ENSP00000313500
NX_Q8N3J3-3	ENSP00000245382
NX_Q8N3J3-4	ENSP00000466618
NX_Q8N3J5-1	ENSP00000477341
NX_Q8N3J6-1	ENSP00000384575
NX_Q8N3J6-2	ENSP00000373200
NX_Q8N3J6-3	ENSP00000384193
NX_Q8N3J6-4	ENSP00000373200
NX_Q8N3J6-5	ENSP00000384193
NX_Q8N3J6-5	ENSP00000384575
NX_Q8N3J9-1	ENSP00000337320
NX_Q8N3J9-1	ENSP00000376205
NX_Q8N3J9-1	ENSP00000440645
NX_Q8N3J9-1	ENSP00000441405
NX_Q8N3K9-1	ENSP00000394770
NX_Q8N3L3-1	ENSP00000351206
NX_Q8N3P4-1	ENSP00000487164
NX_Q8N3P4-2	ENSP00000405483
NX_Q8N3P4-3	ENSP00000404704
NX_Q8N3R3-1	ENSP00000341539
NX_Q8N3R3-1	ENSP00000402581
NX_Q8N3R3-2	ENSP00000387842
NX_Q8N3R3-2	ENSP00000392032
NX_Q8N3R3-2	ENSP00000402604
NX_Q8N3R3-3	ENSP00000373252
NX_Q8N3R3-3	ENSP00000379388
NX_Q8N3R3-4	ENSP00000341539
NX_Q8N3R3-4	ENSP00000392032
NX_Q8N3R3-4	ENSP00000402581
NX_Q8N3R9-1	ENSP00000261681
NX_Q8N3R9-2	ENSP00000261681
NX_Q8N3R9-2	ENSP00000451488
NX_Q8N3S3-1	ENSP00000248550
NX_Q8N3S3-1	ENSP00000400958
NX_Q8N3S3-2	ENSP00000403042
NX_Q8N3S3-3	ENSP00000307699
NX_Q8N3S3-4	ENSP00000275575
NX_Q8N3S3-5	ENSP00000387355
NX_Q8N3S3-6	ENSP00000408035
NX_Q8N3S3-7	ENSP00000403620
NX_Q8N3T1-1	ENSP00000344260
NX_Q8N3T6-1	ENSP00000410852
NX_Q8N3U4-1	ENSP00000360186
NX_Q8N3U4-1	ENSP00000360199
NX_Q8N3U4-1	ENSP00000360202
NX_Q8N3U4-2	ENSP00000218089
NX_Q8N3U4-2	ENSP00000360187
NX_Q8N3V7-1	ENSP00000377789
NX_Q8N3V7-1	ENSP00000428378
NX_Q8N3V7-2	ENSP00000302139
NX_Q8N3V7-3	ENSP00000377789
NX_Q8N3V7-3	ENSP00000428378
NX_Q8N3V7-3	ENSP00000429268
NX_Q8N3X1-1	ENSP00000263773
NX_Q8N3X6-1	ENSP00000371661
NX_Q8N3X6-2	ENSP00000371659
NX_Q8N3X6-2	ENSP00000371661
NX_Q8N3X6-3	ENSP00000317566
NX_Q8N3Y1-1	ENSP00000310686
NX_Q8N3Y1-2	ENSP00000389144
NX_Q8N3Y3-1	ENSP00000324570
NX_Q8N3Y3-1	ENSP00000385235
NX_Q8N3Y3-1	ENSP00000432869
NX_Q8N3Y7-1	ENSP00000307607
NX_Q8N3Y7-2	ENSP00000379947
NX_Q8N3Z0-1	ENSP00000358714
NX_Q8N3Z3-1	ENSP00000373176
NX_Q8N3Z3-2	ENSP00000373175
NX_Q8N3Z3-2	ENSP00000418877
NX_Q8N3Z3-3	ENSP00000295864
NX_Q8N3Z6-1	ENSP00000337839
NX_Q8N3Z6-1	ENSP00000443113
NX_Q8N3Z6-2	ENSP00000316365
NX_Q8N412-1	ENSP00000295268
NX_Q8N413-1	ENSP00000381782
NX_Q8N413-1	ENSP00000435489
NX_Q8N413-2	ENSP00000294187
NX_Q8N413-2	ENSP00000381782
NX_Q8N413-2	ENSP00000434582
NX_Q8N413-2	ENSP00000435489
NX_Q8N413-3	ENSP00000435547
NX_Q8N413-4	ENSP00000431769
NX_Q8N414-1	ENSP00000431404
NX_Q8N423-4	ENSP00000375629
NX_Q8N423-4	ENSP00000410117
NX_Q8N427-1	ENSP00000199447
NX_Q8N427-1	ENSP00000397063
NX_Q8N428-1	ENSP00000336729
NX_Q8N428-1	ENSP00000402970
NX_Q8N428-2	ENSP00000451200
NX_Q8N428-2	ENSP00000451420
NX_Q8N431-1	ENSP00000354963
NX_Q8N431-1	ENSP00000377037
NX_Q8N431-2	ENSP00000354963
NX_Q8N431-2	ENSP00000377037
NX_Q8N431-2	ENSP00000429114
NX_Q8N434-1	ENSP00000405482
NX_Q8N434-2	ENSP00000288513
NX_Q8N434-2	ENSP00000417018
NX_Q8N436-1	ENSP00000241305
NX_Q8N441-1	ENSP00000264748
NX_Q8N441-1	ENSP00000381498
NX_Q8N441-1	ENSP00000423091
NX_Q8N441-1	ENSP00000425025
NX_Q8N442-1	ENSP00000281543
NX_Q8N443-1	ENSP00000364476
NX_Q8N443-2	ENSP00000402080
NX_Q8N443-3	ENSP00000401463
NX_Q8N446-1	ENSP00000322899
NX_Q8N446-1	ENSP00000483573
NX_Q8N448-1	ENSP00000325929
NX_Q8N456-1	ENSP00000363275
NX_Q8N461-1	ENSP00000318674
NX_Q8N461-1	ENSP00000380746
NX_Q8N461-2	ENSP00000318674
NX_Q8N461-2	ENSP00000380746
NX_Q8N461-2	ENSP00000455217
NX_Q8N465-1	ENSP00000315351
NX_Q8N468-1	ENSP00000356115
NX_Q8N474-1	ENSP00000220772
NX_Q8N475-1	ENSP00000305334
NX_Q8N475-2	ENSP00000368462
NX_Q8N475-3	ENSP00000389270
NX_Q8N485-1	ENSP00000274382
NX_Q8N490-1	ENSP00000273077
NX_Q8N490-2	ENSP00000248451
NX_Q8N490-3	ENSP00000258362
NX_Q8N490-4	ENSP00000414400
NX_Q8N4A0-1	ENSP00000436604
NX_Q8N4B1-1	ENSP00000354461
NX_Q8N4B1-1	ENSP00000447353
NX_Q8N4B1-1	ENSP00000449994
NX_Q8N4B1-4	ENSP00000354461
NX_Q8N4B4-1	ENSP00000321386
NX_Q8N4B5-1	ENSP00000319590
NX_Q8N4C6-11	ENSP00000324210
NX_Q8N4C6-11	ENSP00000371474
NX_Q8N4C6-1	ENSP00000371472
NX_Q8N4C6-7	ENSP00000245441
NX_Q8N4C6-7	ENSP00000436092
NX_Q8N4C6-9	ENSP00000371472
NX_Q8N4C7-1	ENSP00000320679
NX_Q8N4C8-1	ENSP00000347427
NX_Q8N4C8-3	ENSP00000269296
NX_Q8N4C8-4	ENSP00000406487
NX_Q8N4C9-1	ENSP00000478886
NX_Q8N4C9-2	ENSP00000477816
NX_Q8N4E4-1	ENSP00000295645
NX_Q8N4E7-1	ENSP00000313691
NX_Q8N4F0-1	ENSP00000170150
NX_Q8N4F4-1	ENSP00000321549
NX_Q8N4F7-1	ENSP00000340979
NX_Q8N4F7-2	ENSP00000424430
NX_Q8N4G2-1	ENSP00000323847
NX_Q8N4H0-1	ENSP00000418458
NX_Q8N4H0-2	ENSP00000384342
NX_Q8N4H0-2	ENSP00000417965
NX_Q8N4H0-3	ENSP00000417063
NX_Q8N4H5-1	ENSP00000313584
NX_Q8N4H5-2	ENSP00000438204
NX_Q8N4H5-3	ENSP00000367004
NX_Q8N4J0-1	ENSP00000366030
NX_Q8N4K4-1	ENSP00000318032
NX_Q8N4L1-1	ENSP00000326244
NX_Q8N4L2-1	ENSP00000285419
NX_Q8N4L4-1	ENSP00000315554
NX_Q8N4L8-1	ENSP00000361392
NX_Q8N4M1-1	ENSP00000271227
NX_Q8N4M1-2	ENSP00000271227
NX_Q8N4M1-2	ENSP00000389143
NX_Q8N4M1-2	ENSP00000432789
NX_Q8N4M1-3	ENSP00000389143
NX_Q8N4M1-4	ENSP00000433641
NX_Q8N4M1-5	ENSP00000431836
NX_Q8N4M1-6	ENSP00000431836
NX_Q8N4N3-1	ENSP00000456743
NX_Q8N4N3-2	ENSP00000258157
NX_Q8N4N8-1	ENSP00000268919
NX_Q8N4P2-1	ENSP00000386181
NX_Q8N4P3-1	ENSP00000377814
NX_Q8N4P3-2	ENSP00000330721
NX_Q8N4P6-1	ENSP00000336661
NX_Q8N4Q0-1	ENSP00000323678
NX_Q8N4Q0-2	ENSP00000323678
NX_Q8N4Q0-2	ENSP00000440111
NX_Q8N4Q1-1	ENSP00000380122
NX_Q8N4Q1-2	ENSP00000295767
NX_Q8N4S0-1	ENSP00000278520
NX_Q8N4S0-1	ENSP00000397156
NX_Q8N4S7-1	ENSP00000321804
NX_Q8N4S7-2	ENSP00000293978
NX_Q8N4S9-1	ENSP00000323264
NX_Q8N4S9-3	ENSP00000396244
NX_Q8N4T0-1	ENSP00000297770
NX_Q8N4T0-2	ENSP00000431112
NX_Q8N4T0-3	ENSP00000419016
NX_Q8N4T4-1	ENSP00000367638
NX_Q8N4T4-2	ENSP00000436756
NX_Q8N4T4-3	ENSP00000436519
NX_Q8N4T8-1	ENSP00000303525
NX_Q8N4T8-2	ENSP00000427615
NX_Q8N4U5-1	ENSP00000299045
NX_Q8N4U5-2	ENSP00000448952
NX_Q8N4V1-1	ENSP00000306220
NX_Q8N4V2-1	ENSP00000479104
NX_Q8N4W6-1	ENSP00000378508
NX_Q8N4W6-1	ENSP00000446830
NX_Q8N4W9-1	ENSP00000352846
NX_Q8N4W9-2	ENSP00000352846
NX_Q8N4W9-2	ENSP00000420522
NX_Q8N4X5-1	ENSP00000303042
NX_Q8N4X5-2	ENSP00000358276
NX_Q8N4Y2-1	ENSP00000435299
NX_Q8N4Y2-3	ENSP00000409256
NX_Q8N4Y2-3	ENSP00000432334
NX_Q8N4Z0-1	ENSP00000362932
NX_Q8N511-1	ENSP00000292114
NX_Q8N539-1	ENSP00000361413
NX_Q8N539-1	ENSP00000414501
NX_Q8N543-1	ENSP00000457258
NX_Q8N543-2	ENSP00000337196
NX_Q8N543-2	ENSP00000457258
NX_Q8N554-1	ENSP00000415836
NX_Q8N554-2	ENSP00000289816
NX_Q8N554-2	ENSP00000415836
NX_Q8N556-1	ENSP00000351245
NX_Q8N556-1	ENSP00000353402
NX_Q8N556-2	ENSP00000371983
NX_Q8N556-2	ENSP00000410689
NX_Q8N565-1	ENSP00000263268
NX_Q8N565-1	ENSP00000484331
NX_Q8N567-1	ENSP00000254037
NX_Q8N567-1	ENSP00000369546
NX_Q8N567-1	ENSP00000385047
NX_Q8N567-1	ENSP00000412637
NX_Q8N568-1	ENSP00000296550
NX_Q8N568-2	ENSP00000427235
NX_Q8N568-3	ENSP00000303887
NX_Q8N573-1	ENSP00000405424
NX_Q8N573-2	ENSP00000311026
NX_Q8N573-3	ENSP00000431014
NX_Q8N573-4	ENSP00000297447
NX_Q8N573-5	ENSP00000431966
NX_Q8N573-6	ENSP00000430701
NX_Q8N573-7	ENSP00000408659
NX_Q8N573-8	ENSP00000429205
NX_Q8N584-1	ENSP00000323645
NX_Q8N584-2	ENSP00000306598
NX_Q8N584-2	ENSP00000323645
NX_Q8N584-3	ENSP00000464344
NX_Q8N587-1	ENSP00000303915
NX_Q8N587-2	ENSP00000303915
NX_Q8N587-2	ENSP00000370284
NX_Q8N587-2	ENSP00000393074
NX_Q8N594-1	ENSP00000262966
NX_Q8N594-2	ENSP00000353015
NX_Q8N5A5-1	ENSP00000332013
NX_Q8N5A5-2	ENSP00000348242
NX_Q8N5A5-2	ENSP00000358984
NX_Q8N5A5-2	ENSP00000391176
NX_Q8N5A5-3	ENSP00000349634
NX_Q8N5A5-4	ENSP00000332013
NX_Q8N5A5-4	ENSP00000348242
NX_Q8N5A5-4	ENSP00000349634
NX_Q8N5A5-4	ENSP00000358984
NX_Q8N5A5-4	ENSP00000391176
NX_Q8N5B7-1	ENSP00000325485
NX_Q8N5B7-2	ENSP00000389050
NX_Q8N5B7-2	ENSP00000447410
NX_Q8N5C1-1	ENSP00000357588
NX_Q8N5C6-1	ENSP00000263736
NX_Q8N5C6-2	ENSP00000263736
NX_Q8N5C7-1	ENSP00000251250
NX_Q8N5C7-1	ENSP00000385399
NX_Q8N5C7-1	ENSP00000453529
NX_Q8N5C7-2	ENSP00000453686
NX_Q8N5C7-3	ENSP00000452628
NX_Q8N5C8-1	ENSP00000368212
NX_Q8N5C8-1	ENSP00000368215
NX_Q8N5C8-2	ENSP00000368214
NX_Q8N5D0-1	ENSP00000317971
NX_Q8N5D0-2	ENSP00000434578
NX_Q8N5D0-4	ENSP00000355317
NX_Q8N5D6-1	ENSP00000361110
NX_Q8N5D6-2	ENSP00000361113
NX_Q8N5D6-3	ENSP00000437663
NX_Q8N5F7-1	ENSP00000360464
NX_Q8N5G0-1	ENSP00000427407
NX_Q8N5G0-1	ENSP00000483831
NX_Q8N5G0-2	ENSP00000483831
NX_Q8N5G2-1	ENSP00000363463
NX_Q8N5G2-3	ENSP00000382668
NX_Q8N5H3-1	ENSP00000314829
NX_Q8N5H3-3	ENSP00000431459
NX_Q8N5H3-4	ENSP00000402439
NX_Q8N5H7-1	ENSP00000317817
NX_Q8N5H7-2	ENSP00000362374
NX_Q8N5H7-3	ENSP00000317817
NX_Q8N5H7-3	ENSP00000362373
NX_Q8N5H7-3	ENSP00000362374
NX_Q8N5H7-3	ENSP00000388536
NX_Q8N5H7-3	ENSP00000394632
NX_Q8N5H7-3	ENSP00000485866
NX_Q8N5H7-4	ENSP00000362373
NX_Q8N5H7-5	ENSP00000388536
NX_Q8N5H7-6	ENSP00000485866
NX_Q8N5I2-1	ENSP00000360475
NX_Q8N5I3-1	ENSP00000324191
NX_Q8N5I3-2	ENSP00000353661
NX_Q8N5I4-1	ENSP00000334113
NX_Q8N5I9-1	ENSP00000447057
NX_Q8N5J2-1	ENSP00000354669
NX_Q8N5J2-1	ENSP00000354814
NX_Q8N5J2-1	ENSP00000481304
NX_Q8N5J2-2	ENSP00000310923
NX_Q8N5J2-2	ENSP00000354669
NX_Q8N5J2-2	ENSP00000354814
NX_Q8N5J2-2	ENSP00000437174
NX_Q8N5J2-2	ENSP00000481304
NX_Q8N5J2-3	ENSP00000354669
NX_Q8N5J2-4	ENSP00000354669
NX_Q8N5J2-4	ENSP00000354814
NX_Q8N5J2-4	ENSP00000437174
NX_Q8N5J2-4	ENSP00000481304
NX_Q8N5J4-1	ENSP00000448580
NX_Q8N5K1-1	ENSP00000273986
NX_Q8N5L8-1	ENSP00000297613
NX_Q8N5L8-1	ENSP00000368242
NX_Q8N5M1-1	ENSP00000417190
NX_Q8N5M4-1	ENSP00000325266
NX_Q8N5M4-1	ENSP00000434340
NX_Q8N5M4-2	ENSP00000294161
NX_Q8N5M9-1	ENSP00000306106
NX_Q8N5N4-1	ENSP00000316644
NX_Q8N5N4-2	ENSP00000422064
NX_Q8N5N7-1	ENSP00000363999
NX_Q8N5P1-1	ENSP00000272570
NX_Q8N5P1-1	ENSP00000386488
NX_Q8N5Q1-1	ENSP00000398617
NX_Q8N5R6-4	ENSP00000325661
NX_Q8N5R6-4	ENSP00000452817
NX_Q8N5R6-5	ENSP00000268082
NX_Q8N5R6-6	ENSP00000381795
NX_Q8N5S1-1	ENSP00000322649
NX_Q8N5S1-1	ENSP00000471238
NX_Q8N5S1-2	ENSP00000405411
NX_Q8N5S3-1	ENSP00000381631
NX_Q8N5S3-2	ENSP00000325555
NX_Q8N5S3-2	ENSP00000381631
NX_Q8N5S9-1	ENSP00000323118
NX_Q8N5S9-1	ENSP00000371188
NX_Q8N5S9-2	ENSP00000158166
NX_Q8N5T2-1	ENSP00000264866
NX_Q8N5T2-2	ENSP00000425569
NX_Q8N5U0-1	ENSP00000321021
NX_Q8N5U1-1	ENSP00000386022
NX_Q8N5U1-2	ENSP00000338692
NX_Q8N5U1-2	ENSP00000386022
NX_Q8N5U1-3	ENSP00000434165
NX_Q8N5U6-1	ENSP00000322242
NX_Q8N5U6-2	ENSP00000415682
NX_Q8N5V2-1	ENSP00000264051
NX_Q8N5V2-2	ENSP00000387033
NX_Q8N5V2-3	ENSP00000362653
NX_Q8N5W8-1	ENSP00000357892
NX_Q8N5W8-1	ENSP00000357894
NX_Q8N5X7-1	ENSP00000393324
NX_Q8N5X7-2	ENSP00000295612
NX_Q8N5X7-2	ENSP00000374476
NX_Q8N5X7-2	ENSP00000393324
NX_Q8N5X7-2	ENSP00000410350
NX_Q8N5X7-2	ENSP00000411762
NX_Q8N5Y2-1	ENSP00000312244
NX_Q8N5Y2-3	ENSP00000381538
NX_Q8N5Y2-4	ENSP00000312244
NX_Q8N5Y2-4	ENSP00000354562
NX_Q8N5Y2-4	ENSP00000370069
NX_Q8N5Y2-4	ENSP00000381538
NX_Q8N5Y2-4	ENSP00000418673
NX_Q8N5Y2-5	ENSP00000338078
NX_Q8N5Y2-6	ENSP00000354562
NX_Q8N5Y2-6	ENSP00000418673
NX_Q8N5Y8-2	ENSP00000396118
NX_Q8N5Y8-3	ENSP00000261888
NX_Q8N5Z0-1	ENSP00000226840
NX_Q8N5Z0-1	ENSP00000336808
NX_Q8N5Z0-1	ENSP00000423341
NX_Q8N5Z0-2	ENSP00000423190
NX_Q8N5Z5-1	ENSP00000385096
NX_Q8N5Z5-2	ENSP00000384391
NX_Q8N608-1	ENSP00000386565
NX_Q8N608-2	ENSP00000309066
NX_Q8N608-3	ENSP00000376855
NX_Q8N608-4	ENSP00000309066
NX_Q8N608-4	ENSP00000376855
NX_Q8N608-4	ENSP00000386565
NX_Q8N608-4	ENSP00000387038
NX_Q8N609-1	ENSP00000309402
NX_Q8N612-1	ENSP00000416918
NX_Q8N612-2	ENSP00000265978
NX_Q8N614-1	ENSP00000371364
NX_Q8N628-1	ENSP00000355443
NX_Q8N628-1	ENSP00000479757
NX_Q8N635-1	ENSP00000380504
NX_Q8N635-2	ENSP00000314484
NX_Q8N635-2	ENSP00000390778
NX_Q8N653-1	ENSP00000215739
NX_Q8N655-1	ENSP00000286067
NX_Q8N655-1	ENSP00000490116
NX_Q8N660-1	ENSP00000462600
NX_Q8N660-1	ENSP00000463178
NX_Q8N660-1	ENSP00000481835
NX_Q8N661-1	ENSP00000321038
NX_Q8N668-1	ENSP00000308236
NX_Q8N680-1	ENSP00000323183
NX_Q8N682-1	ENSP00000258534
NX_Q8N682-2	ENSP00000445827
NX_Q8N684-1	ENSP00000345412
NX_Q8N684-1	ENSP00000378352
NX_Q8N684-2	ENSP00000397203
NX_Q8N684-2	ENSP00000407394
NX_Q8N684-3	ENSP00000345412
NX_Q8N687-1	ENSP00000371847
NX_Q8N688-1	ENSP00000365486
NX_Q8N690-1	ENSP00000365499
NX_Q8N690-2	ENSP00000365492
NX_Q8N690-3	ENSP00000345768
NX_Q8N693-1	ENSP00000361669
NX_Q8N695-1	ENSP00000445340
NX_Q8N697-1	ENSP00000266771
NX_Q8N697-2	ENSP00000266771
NX_Q8N697-2	ENSP00000365935
NX_Q8N699-1	ENSP00000356214
NX_Q8N6C5-1	ENSP00000355010
NX_Q8N6C5-2	ENSP00000359941
NX_Q8N6C5-2	ENSP00000359947
NX_Q8N6C5-3	ENSP00000359937
NX_Q8N6C5-3	ENSP00000359938
NX_Q8N6C5-4	ENSP00000359940
NX_Q8N6C8-1	ENSP00000480386
NX_Q8N6C8-1	ENSP00000481818
NX_Q8N6C8-1	ENSP00000482971
NX_Q8N6C8-1	ENSP00000484119
NX_Q8N6C8-2	ENSP00000477708
NX_Q8N6C8-2	ENSP00000480386
NX_Q8N6C8-2	ENSP00000482971
NX_Q8N6C8-2	ENSP00000484119
NX_Q8N6D2-1	ENSP00000420465
NX_Q8N6D2-1	ENSP00000441271
NX_Q8N6D2-1	ENSP00000442021
NX_Q8N6D2-1	ENSP00000443228
NX_Q8N6D5-1	ENSP00000468354
NX_Q8N6D5-3	ENSP00000323387
NX_Q8N6F1-1	ENSP00000296387
NX_Q8N6F1-2	ENSP00000361617
NX_Q8N6F1-3	ENSP00000443229
NX_Q8N6F7-1	ENSP00000309487
NX_Q8N6F7-2	ENSP00000419485
NX_Q8N6F7-3	ENSP00000420603
NX_Q8N6F8-1	ENSP00000297873
NX_Q8N6G2-1	ENSP00000369840
NX_Q8N6G5-1	ENSP00000363590
NX_Q8N6G6-1	ENSP00000327887
NX_Q8N6G6-2	ENSP00000369940
NX_Q8N6G6-3	ENSP00000369921
NX_Q8N6G6-4	ENSP00000276935
NX_Q8N6G6-5	ENSP00000440472
NX_Q8N6G6-6	ENSP00000369918
NX_Q8N6H7-1	ENSP00000434442
NX_Q8N6H7-2	ENSP00000400226
NX_Q8N6H7-3	ENSP00000400226
NX_Q8N6H7-3	ENSP00000433210
NX_Q8N6H7-3	ENSP00000434442
NX_Q8N6H7-3	ENSP00000486339
NX_Q8N6I1-1	ENSP00000375073
NX_Q8N6I4-1	ENSP00000388431
NX_Q8N6I4-2	ENSP00000283534
NX_Q8N6I4-2	ENSP00000388431
NX_Q8N6I4-3	ENSP00000388431
NX_Q8N6K0-1	ENSP00000283547
NX_Q8N6K7-1	ENSP00000357116
NX_Q8N6K7-1	ENSP00000391163
NX_Q8N6K7-1	ENSP00000402092
NX_Q8N6K7-1	ENSP00000403565
NX_Q8N6K7-2	ENSP00000324874
NX_Q8N6K7-3	ENSP00000402092
