UniProt-AC	UniProt-AC_reviewed	UniProt-ID	GeneID	RefSeq	GI	PDB	GO	PIR	MIM	UniGene	Ensembl_Gene	Ensembl_Transcript	Ensembl_Protein	BioGrid	STRING	KEGG	Gene_Name
Q63607		Q63607_RAT	24851	NP_001029240.1; NP_001029242.1; NP_001029243.1	78000194; 78000188; 207502; 81872134; 149028895; 78000192			B39816			ENSRNOG00000018184	ENSRNOT00000057641	ENSRNOP00000054446				Tpm1
B7TYL0		B7TYL0_RAT	362443	NP_001010964.1	58219530; 149049314; 126513461; 205723; 213493251; 126513453		GO:0016021; GO:0030246									rno:362443	Klrb1a
D3ZHB5		D3ZHB5_RAT	288937	NP_001099418.1; XP_008767651.1	672073648; 157786978; 149037259		GO:0005737; GO:0005829; GO:0005615; GO:0004867; GO:0090136; GO:0010951				ENSRNOG00000002396	ENSRNOT00000003274	ENSRNOP00000003274		10116.ENSRNOP00000003274	rno:288937	Serpinb8
A0A140TAD9		A0A140TAD9_RAT			28274768; 149043217		GO:0005506; GO:0031418; GO:0016705				ENSRNOG00000019773	ENSRNOT00000026767	ENSRNOP00000026767				Egln1
Q9TQA7		Q9TQA7_RAT			542130304; 542130306; 5070229; 81917859; 542130302; 54780932; 54780926; 54780930		GO:0016021; GO:0042613; GO:0002250; GO:0002504										RT1.D(a)
D4A8I8		D4A8I8_RAT	291526	NP_001099607.1	157821829; 149064586		GO:0036464; GO:0016607; GO:0003684; GO:0003887; GO:0071494; GO:0019985				ENSRNOG00000012111	ENSRNOT00000016189	ENSRNOP00000016189		10116.ENSRNOP00000016189	rno:291526	Poli
D3ZSX9		D3ZSX9_RAT	500551	NP_001128100.1; XP_006239018.1; XP_006239019.1; XP_006239020.1; XP_006239021.1	564353041; 564353047; 149024032; 564353045; 197385575; 564353043		GO:0005829; GO:0016607; GO:0005634; GO:0048306				ENSRNOG00000007099	ENSRNOT00000009436	ENSRNOP00000009436		10116.ENSRNOP00000009436	rno:500551	S100pbp
D4A823		D4A823_RAT	287726	NP_001099312.1	157786698; 149054332		GO:0005730; GO:0003723				ENSRNOG00000020751	ENSRNOT00000028174	ENSRNOP00000028174		10116.ENSRNOP00000028174	rno:287726	Rdm1
Q4V7C2		Q4V7C2_RAT	301127	NP_001020049.1	149028194; 67846048; 66911646; 81908628		GO:0005737; GO:0005789; GO:0005765; GO:0061630; GO:0006511				ENSRNOG00000048875	ENSRNOT00000075408	ENSRNOP00000066001		10116.ENSRNOP00000066001	rno:301127	Znrf4
A0A0G2K3X1		A0A0G2K3X1_RAT			149061707; 149061708		GO:0005861				ENSRNOG00000020276	ENSRNOT00000087781	ENSRNOP00000072812				Tnni2
D4AE11		D4AE11_RAT	302366	NP_001100405.1	149055522; 157818223		GO:0035102; GO:1990841; GO:0006342; GO:0036353; GO:0000122				ENSRNOG00000033458	ENSRNOT00000050807	ENSRNOP00000040305		10116.ENSRNOP00000040305	rno:302366	RGD1562871
M0R4B6		M0R4B6_RAT			149066919		GO:0005840; GO:0003735; GO:0006412				ENSRNOG00000029115	ENSRNOT00000041210	ENSRNOP00000064197		10116.ENSRNOP00000064197		LOC102555453
Q3KR94		Q3KR94_RAT	29169	NP_062029.2	162287178; 76780264; 149053542		GO:0005604; GO:0062023; GO:0005737; GO:0031012; GO:0005615; GO:0005796; GO:0048237; GO:0005518; GO:0050840; GO:0008201; GO:0042802; GO:0005178; GO:0030247; GO:0005044; GO:0033627; GO:0016477; GO:0008283; GO:0007160; GO:0035987; GO:0030198; GO:0006955; GO:0097421; GO:0010951; GO:0048709; GO:0010811; GO:0050731; GO:0032092; GO:0048260; GO:0014911; GO:0051258; GO:0061302				ENSRNOG00000010031	ENSRNOT00000039954	ENSRNOP00000046415		10116.ENSRNOP00000046415	rno:29169	Vtn
Q8R522		Q8R522_RAT			19911221; 81901717		GO:0016021; GO:0022857; GO:0008643				ENSRNOG00000020039	ENSRNOT00000080872	ENSRNOP00000071031				Slc5a2
A0A0G2JXH5		A0A0G2JXH5_RAT			395067; 149033422		GO:0005507; GO:0008131; GO:0048038; GO:0009308				ENSRNOG00000008575	ENSRNOT00000082905	ENSRNOP00000070272				Aoc1
Q5I0M1		Q5I0M1_RAT	287774	NP_001009626.1	149054630; 57528174; 81883011; 56971279		GO:0009986; GO:0042627; GO:0034364; GO:0034361; GO:0042802; GO:0060230; GO:0005543; GO:0007597; GO:0016525; GO:0030195; GO:0010596; GO:0001937; GO:0051918; GO:0033033; GO:0034392; GO:0031639; GO:0051006; GO:0006641				ENSRNOG00000003566	ENSRNOT00000004756	ENSRNOP00000004756		10116.ENSRNOP00000004756	rno:287774	Apoh
B5DFD8		B5DFD8_RAT	302363	NP_001166810.1	197246094; 149055514; 290563454						ENSRNOG00000002280	ENSRNOT00000042827	ENSRNOP00000045257		10116.ENSRNOP00000045257	rno:302363	Sh3bgrl
F1M342		F1M342_RAT	365744	NP_001102409.1	149048503; 157822005		GO:0005634; GO:0003700; GO:0000978; GO:0000977; GO:0003707; GO:0008270; GO:0048856; GO:0030154; GO:0045944; GO:0045893; GO:0006357				ENSRNOG00000008971	ENSRNOT00000011890	ENSRNOP00000011890		10116.ENSRNOP00000011890	rno:365744	Hnf4g
B1WC24		B1WC24_RAT	363249	NP_001121551.1	149016108; 171846749; 189303571		GO:0005654; GO:0005634; GO:0004721; GO:0008420; GO:2000134; GO:0050768; GO:0045665; GO:0001933; GO:0006470; GO:0006357				ENSRNOG00000015295	ENSRNOT00000020646	ENSRNOP00000020646		10116.ENSRNOP00000020646	rno:363249	Ctdsp1
D3ZCF3		D3ZCF3_RAT	501797	NP_001178934.1	300795655; 149015586		GO:0016021; GO:0005537				ENSRNOG00000028803	ENSRNOT00000031997	ENSRNOP00000029615		10116.ENSRNOP00000029615	rno:501797	Cd209e
G3V742		G3V742_RAT	171052	NP_598214.1	213972541; 149020733		GO:0031012; GO:0005509; GO:0005518; GO:0004222; GO:0008270; GO:0030282; GO:0044267; GO:0030574; GO:0001958; GO:0022617; GO:0003417				ENSRNOG00000008478	ENSRNOT00000011507	ENSRNOP00000011507			rno:171052	Mmp13
O08718		O08718_RAT	60329	NP_067732.1	2072738; 81886463; 149038704; 11067439		GO:0005737; GO:0005634; GO:0031490; GO:0001228; GO:0003700; GO:0001227; GO:0003690; GO:0046983; GO:0000978; GO:0003713; GO:0031018; GO:0030855; GO:0030900; GO:0030902; GO:0007275; GO:0000122; GO:0045597; GO:0051091; GO:0045666; GO:0045944; GO:0048814; GO:0006355; GO:0021510; GO:0060290				ENSRNOG00000024413	ENSRNOT00000000661	ENSRNOP00000000661		10116.ENSRNOP00000000661	rno:60329	Neurog3
D3ZKW5		D3ZKW5_RAT	313609	NP_001101454.1; XP_006239183.1	564353435; 157818815; 149024219		GO:0005654; GO:0005634; GO:0005524; GO:0004672; GO:0004674				ENSRNOG00000016536	ENSRNOT00000022141	ENSRNOP00000022141		10116.ENSRNOP00000022141	rno:313609	Pdik1l
D3ZQ02		D3ZQ02_RAT	307075	NP_001100832.1	149031448; 149031449; 157822497; 149031450		GO:0070545; GO:0030687				ENSRNOG00000016834	ENSRNOT00000022688	ENSRNOP00000022688		10116.ENSRNOP00000022688	rno:307075	Wdr37
G3V8S5		G3V8S5_RAT	497672	XP_008766314.1	149054320; 672068852		GO:0070531; GO:0031436; GO:0005737; GO:0000800; GO:0016604; GO:0005886; GO:1990904; GO:0003684; GO:0042802; GO:0003723; GO:0070063; GO:0003713; GO:0044212; GO:0031625; GO:0004842; GO:0008270; GO:0071681; GO:0071356; GO:0007098; GO:0043009; GO:0007059; GO:0009048; GO:0000724; GO:0008630; GO:0044818; GO:1902042; GO:0045717; GO:0035067; GO:0051572; GO:0051573; GO:0033147; GO:2000378; GO:0045892; GO:0045766; GO:0071158; GO:0045739; GO:0051571; GO:2000617; GO:0051574; GO:2000620; GO:0070512; GO:0031398; GO:0045944; GO:0010575; GO:0006301; GO:0051865; GO:0085020; GO:0044030; GO:0006349; GO:0043627; GO:0010212; GO:0072425				ENSRNOG00000020701	ENSRNOT00000028109; ENSRNOT00000083111	ENSRNOP00000028109; ENSRNOP00000072366				Brca1
D3ZJZ0		D3ZJZ0_RAT	300441	NP_001100274.1; XP_006242683.1; XP_006242684.1; XP_006242685.1; XP_006242686.1; XP_006242687.1; XP_008764150.1; XP_008764151.1	564362589; 564362585; 564362581; 564362587; 672060892; 149020453; 149020452; 672060895; 149020455; 157818709; 564362583		GO:0016021				ENSRNOG00000011747	ENSRNOT00000015684	ENSRNOP00000015684		10116.ENSRNOP00000015684	rno:300441	Tmem205
F1LWG4		F1LWG4_RAT	296086	NP_001099970.1; XP_006234799.1; XP_006234800.1; XP_006234801.1; XP_006234802.1; XP_006234803.1	564342328; 157817556; 564342334; 564342332; 564342330; 149023027; 564342326; 149023026		GO:0005829; GO:0005739; GO:0051082; GO:0006120; GO:0032981				ENSRNOG00000005006	ENSRNOT00000006874	ENSRNOP00000006874		10116.ENSRNOP00000006874	rno:296086	Ndufaf1
F1LXV0		F1LXV0_RAT			149024193		GO:0005829; GO:0005654; GO:0005840; GO:0005524; GO:0043027; GO:0000287; GO:0004674; GO:0004712; GO:0035556; GO:2000491; GO:0045944				ENSRNOG00000042411	ENSRNOT00000068634; ENSRNOT00000077248	ENSRNOP00000060054; ENSRNOP00000070880				Rps6ka1
Q6QI22		Q6QI22_RAT	498236	NP_001041391.1; XP_008767787.1	114145724; 45478212; 81864002; 672074129						ENSRNOG00000025987	ENSRNOT00000036094	ENSRNOP00000033535		10116.ENSRNOP00000033535	rno:498236	LOC498236
D3ZLM6		D3ZLM6_RAT	311847	NP_001101296.1	157822271; 149039108		GO:0030176; GO:0004168; GO:0043048				ENSRNOG00000016989	ENSRNOT00000022786	ENSRNOP00000022786		10116.ENSRNOP00000022786	rno:311847	Dolk
D3ZW68		D3ZW68_RAT	100910893; 103690355; 406053	NP_001001126.1; XP_006234559.2; XP_008760224.2	1046883286; 1046883292; 47577693		GO:0016021; GO:0005886; GO:0004930; GO:0004984; GO:0007186				ENSRNOG00000047515; ENSRNOG00000048609; ENSRNOG00000056683	ENSRNOT00000044856; ENSRNOT00000049527; ENSRNOT00000088803	ENSRNOP00000045105; ENSRNOP00000044054; ENSRNOP00000070145		10116.ENSRNOP00000045105	rno:100910893;rno:103690355;rno:406053	Olr637
D4ABA6		D4ABA6_RAT	365763	NP_001102412.1	149048629; 157822087		GO:0015629; GO:0001673; GO:0005634				ENSRNOG00000027908	ENSRNOT00000030700	ENSRNOP00000038451		10116.ENSRNOP00000038451	rno:365763	Actrt3
D4ABV1		D4ABV1_RAT	363195	NP_001013243.2	201021267; 149069357		GO:0043231; GO:0005525; GO:0003924; GO:0003746; GO:0070966; GO:0072344; GO:0006414				ENSRNOG00000019332	ENSRNOT00000026195	ENSRNOP00000026195		10116.ENSRNOP00000026195	rno:363195	Gtpbp2
G3V8C8		G3V8C8_RAT			149023253		GO:0005623; GO:0004835; GO:0018166; GO:0000226; GO:0045931; GO:0030516; GO:0090235				ENSRNOG00000018205	ENSRNOT00000024694	ENSRNOP00000024695				Ttl
B2RZ70		B2RZ70_RAT	303559	NP_001100522.1; XP_008766276.1; XP_017452811.1	149054336; 1046849560; 157817378; 672068703; 187469802		GO:0005737; GO:0005634; GO:0005886; GO:0005525; GO:0006886; GO:0016192				ENSRNOG00000020770	ENSRNOT00000028178	ENSRNOP00000028178		10116.ENSRNOP00000028178	rno:303559	Arl4d
D4ACL6		D4ACL6_RAT	362886	NP_001102217.1	149066817; 157824107		GO:0005829; GO:0005886; GO:0042802; GO:0042981; GO:0007165				ENSRNOG00000005388	ENSRNOT00000007295	ENSRNOP00000007295		10116.ENSRNOP00000007295	rno:362886	Rassf3
B0BNJ1		B0BNJ1_RAT	683667	NP_001121662.1	165971033; 189491879		GO:0030424; GO:0043679; GO:0005623; GO:0042584; GO:0005829; GO:0044326; GO:0005789; GO:0070062; GO:0016020; GO:0005739; GO:0005654; GO:0005886; GO:0005790; GO:0030315; GO:0031982; GO:0030018; GO:0005509; GO:0042802; GO:0002020; GO:0046982; GO:0070491; GO:0006816; GO:0042994; GO:0007507; GO:0055118; GO:0010459; GO:0060315; GO:2000678; GO:0035774; GO:0051281; GO:0051924; GO:0086004; GO:1901844; GO:1901841; GO:1901077				ENSRNOG00000049780	ENSRNOT00000073790	ENSRNOP00000066499		10116.ENSRNOP00000066499	rno:683667	Sri
A1L1K5		A1L1K5_RAT	362622	NP_001073620.1	120537434; 121949756		GO:0005813; GO:0000242; GO:0000922; GO:0006469; GO:0046602				ENSRNOG00000016249	ENSRNOT00000065983	ENSRNOP00000059193		10116.ENSRNOP00000059193	rno:362622	Cep85
D3Z7Z4		D3Z7Z4_RAT	316342	NP_001101682.1; XP_006244879.1; XP_006244880.1	564368077; 149046333; 157817296; 564368079		GO:0005739; GO:0009249				ENSRNOG00000018464	ENSRNOT00000024896	ENSRNOP00000024896		10116.ENSRNOP00000024896	rno:316342	Lipt1
G3V7I6		G3V7I6_RAT			149031950		GO:0005903; GO:0005789; GO:0016021; GO:0015485; GO:0034736; GO:0000062; GO:0033344; GO:0034435; GO:0042632; GO:0008203; GO:0034379				ENSRNOG00000053769	ENSRNOT00000085896	ENSRNOP00000071253				Soat2
B0BMV8		B0BMV8_RAT	24312	NP_569084.1	15982944; 165971603; 149059008; 18426814		GO:0005739; GO:0004146; GO:0051000; GO:2000121; GO:0006729; GO:0046654									rno:24312	Dhfr
D4A1W8		D4A1W8_RAT	310900	NP_001101197.1	149026062; 157819691		GO:0016323; GO:0031526; GO:0005783; GO:0005794; GO:0031528; GO:0043235; GO:0005791; GO:0031982; GO:0034185; GO:1902388; GO:0005319; GO:0120014; GO:0005548; GO:0046982; GO:0044877; GO:0140344; GO:0042632; GO:0007623; GO:0006629; GO:0006869; GO:0042157; GO:0042953; GO:0015914; GO:0034377; GO:0006497; GO:0009306; GO:0051592; GO:0006641; GO:0034197				ENSRNOG00000010655	ENSRNOT00000014631	ENSRNOP00000014630		10116.ENSRNOP00000014630	rno:310900	Mttp
M0RDD7		M0RDD7_RAT	500378	XP_006225140.1; XP_006237169.1	149049295; 564348393; 564304486						ENSRNOG00000058457	ENSRNOT00000086605	ENSRNOP00000069429		10116.ENSRNOP00000067635		Chtopl1
A0A0G2K6B2		A0A0G2K6B2_RAT			149065963		GO:0015629; GO:0032437; GO:0032420; GO:0120044; GO:0120043; GO:0051015; GO:0031625; GO:0051017; GO:0060088; GO:1900026; GO:0007605				ENSRNOG00000059015	ENSRNOT00000086853	ENSRNOP00000073745				Triobp
F1LY19		F1LY19_RAT	684558	XP_001070971.1; XP_003751615.1	109504000; 392353861; 149036014		GO:0000785; GO:0005737; GO:0035145; GO:0000784; GO:0005634; GO:0044530; GO:0005524; GO:0003682; GO:0003723; GO:0003724; GO:0042162; GO:0008270; GO:0061158; GO:0044770; GO:0071347; GO:0071222; GO:0006281; GO:0006260; GO:0009048; GO:0071044; GO:0000956; GO:0000294; GO:0000184; GO:0061014; GO:0032204; GO:0006449; GO:0032201				ENSRNOG00000020134	ENSRNOT00000027268; ENSRNOT00000092293	ENSRNOP00000027268; ENSRNOP00000075829			rno:684558	Upf1
D4A284		D4A284_RAT			149055782		GO:0005509				ENSRNOG00000015675	ENSRNOT00000056030	ENSRNOP00000052883				Nell1
M0R963		M0R963_RAT	499255	NP_001128083.1	197385357; 149068128						ENSRNOG00000048270	ENSRNOT00000075020	ENSRNOP00000066025		10116.ENSRNOP00000066025	rno:499255	Knop1
Q3S4A5		Q3S4A5_RAT			74275395		GO:0005096; GO:0046872				ENSRNOG00000043150	ENSRNOT00000082267	ENSRNOP00000073451				Arfgap1
D3ZT54		D3ZT54_RAT	691120	NP_001103093.1	149055869; 157819963						ENSRNOG00000021037	ENSRNOT00000028558	ENSRNOP00000028558		10116.ENSRNOP00000028558	rno:691120	Spaca4
D3ZWC1		D3ZWC1_RAT					GO:0005615; GO:0006955; GO:0002377				ENSRNOG00000047658; ENSRNOG00000047415; ENSRNOG00000046854	ENSRNOT00000042220; ENSRNOT00000042300; ENSRNOT00000048400	ENSRNOP00000048965; ENSRNOP00000049599; ENSRNOP00000039501		10116.ENSRNOP00000049599		
Q5RJQ2		Q5RJQ2_RAT	317464	NP_001014133.1	149035908; 55778424; 62078959; 81883337		GO:0000123; GO:0072487; GO:0035267; GO:0003677; GO:0035064; GO:0006342; GO:0016573; GO:0016575; GO:0043968; GO:0043967; GO:0043984				ENSRNOG00000004016	ENSRNOT00000065814	ENSRNOP00000061187		10116.ENSRNOP00000061187	rno:317464	Msl3
Q32Q88		Q32Q88_RAT	300724	NP_001032859.1	78394960; 149041725; 83642814		GO:0005737; GO:0005634; GO:0009267; GO:0006913; GO:0032436; GO:2000060; GO:0000209; GO:0010830; GO:0048742				ENSRNOG00000022702	ENSRNOT00000020309	ENSRNOP00000020309		10116.ENSRNOP00000020309	rno:300724	Fbxo22
Q4G058		Q4G058_RAT	360762	NP_001032876.1	83649771; 71051707; 149034848		GO:0005736				ENSRNOG00000000954	ENSRNOT00000001261	ENSRNOP00000001261		10116.ENSRNOP00000001261	rno:360762	Polr1d
D4A1X9		D4A1X9_RAT	310417	NP_001101146.1	157818329; 149064800						ENSRNOG00000010980	ENSRNOT00000014614	ENSRNOP00000014614			rno:310417	Proser1
Q7TQ85		Q7TQ85_RAT	311254	NP_001037707.1	113205496; 81871023; 32264613		GO:0045254; GO:0034604; GO:0016746				ENSRNOG00000006947	ENSRNOT00000009552	ENSRNOP00000009552		10116.ENSRNOP00000009552	rno:311254	Pdhx
Q5U2U9		Q5U2U9_RAT	363603	NP_001008383.1; XP_006246454.1	81910248; 564372040; 149052698; 56605838; 149052697; 149052695; 55250756		GO:0030014; GO:0030015; GO:0005634; GO:0000932; GO:0000175; GO:0003676; GO:0004535; GO:0043928; GO:0017148; GO:0008284; GO:0061014; GO:0006351				ENSRNOG00000002630	ENSRNOT00000003555; ENSRNOT00000089217	ENSRNOP00000003555; ENSRNOP00000070355		10116.ENSRNOP00000003555	rno:363603	Cnot8
Q0X0F0		Q0X0F0_RAT			110835683		GO:0004252				ENSRNOG00000032429	ENSRNOT00000066037	ENSRNOP00000062691				Tmprss9
Q5XIN2		Q5XIN2_RAT	361002	NP_001007007.1	81889877; 53733457; 55742720		GO:0005737; GO:0016021; GO:0016791; GO:0004725; GO:0008138; GO:0016311				ENSRNOG00000013112	ENSRNOT00000067781	ENSRNOP00000058941		10116.ENSRNOP00000066962	rno:361002	Dusp13
G3V9P0		G3V9P0_RAT			149063326		GO:0000502; GO:0070682				ENSRNOG00000001339	ENSRNOT00000057716	ENSRNOP00000054528				Psmd9
Q6IRG7		Q6IRG7_RAT	84588	NP_445909.2	149048606; 61889103; 81891750; 47480048		GO:0045178; GO:0005923; GO:0016021; GO:0005886; GO:0005198; GO:0008366; GO:0007155; GO:0007283				ENSRNOG00000010263	ENSRNOT00000014359	ENSRNOP00000014359			rno:84588	Cldn11
D3ZJC0		D3ZJC0_RAT	311462	NP_001101252.1	157821299; 149023421		GO:0005829; GO:0005634; GO:0021987; GO:0048813; GO:0022008				ENSRNOG00000008088	ENSRNOT00000010835	ENSRNOP00000010835		10116.ENSRNOP00000010835	rno:311462	Btbd3
D3ZP98		D3ZP98_RAT	311545	NP_001101259.1	149031024; 157823209		GO:0009986; GO:0036513; GO:0005783; GO:0005789; GO:0071458; GO:0071556; GO:0005791; GO:0042500; GO:0008233; GO:0042803; GO:0031625; GO:0001701; GO:0033619; GO:1904211; GO:0006465				ENSRNOG00000007738	ENSRNOT00000010251	ENSRNOP00000010251		10116.ENSRNOP00000010251	rno:311545	Hm13
G3V6Z5		G3V6Z5_RAT	29628	XP_006257558.1; XP_006257563.1; XP_017457439.1	564400596; 564400586; 149060063; 1046907015		GO:0032281; GO:0030054; GO:0098688; GO:0045211; GO:0004971; GO:1904315				ENSRNOG00000007682	ENSRNOT00000010367	ENSRNOP00000010367				Gria3
A0A0G2K4T6		A0A0G2K4T6_RAT	289594	XP_006250957.1	149035284; 564383477		GO:0016021; GO:0015095; GO:0015693				ENSRNOG00000025882	ENSRNOT00000090303	ENSRNOP00000073165				Nipal1
B0BNM0		B0BNM0_RAT	313021	NP_001107252.1	166157540; 165970771		GO:0016021				ENSRNOG00000008564	ENSRNOT00000011357	ENSRNOP00000011357		10116.ENSRNOP00000011357	rno:313021	Tmem222
D3Z853		D3Z853_RAT	311299	NP_001101227.1	149022914; 157820591		GO:0016020; GO:0043066				ENSRNOG00000006419	ENSRNOT00000065752	ENSRNOP00000062695		10116.ENSRNOP00000062695	rno:311299	Aven
F1LRH1		F1LRH1_RAT			149063557		GO:0005737; GO:0005634; GO:0005844; GO:0042802; GO:0008266				ENSRNOG00000001156	ENSRNOT00000001532	ENSRNOP00000001532				Msi1
G3V814		G3V814_RAT	361434	NP_001103406.1	149038437; 149038435; 158254369		GO:0005524; GO:0004674				ENSRNOG00000016088	ENSRNOT00000021607	ENSRNOP00000021607			rno:361434	Cdk10
B0BNE9		B0BNE9_RAT	684274	NP_001108513.2	165971435; 169790783		GO:0005739; GO:0043024; GO:0043022; GO:0008135; GO:0003743; GO:0070124; GO:0032790				ENSRNOG00000047329	ENSRNOT00000075162	ENSRNOP00000066295		10116.ENSRNOP00000066295	rno:684274	Mtif3
D3ZY25		D3ZY25_RAT	685079	XP_001062200.2; XP_002726339.1	149042951; 149042949; 293358248; 293346477		GO:0005829; GO:0030173; GO:0005802; GO:0006895; GO:0043001; GO:0034067				ENSRNOG00000014480	ENSRNOT00000030054	ENSRNOP00000037520		10116.ENSRNOP00000037520	rno:685079	Sys1
B5DFL8		B5DFL8_RAT	289717	NP_001163926.1	281427139; 149047376; 197246513		GO:0005634; GO:0070461; GO:0030914; GO:0003682; GO:0003677; GO:0003713; GO:0008270; GO:0006338; GO:0016573; GO:0035066; GO:0006357				ENSRNOG00000027326	ENSRNOT00000037061	ENSRNOP00000037910		10116.ENSRNOP00000037910	rno:289717	Tada2b
I6LBW6		I6LBW6_RAT	553129	NP_001032217.1	80751173; 50512390; 149017314		GO:0005887; GO:0016020; GO:0005509; GO:0007155; GO:0007156									rno:553129	Pcdhga1
D4A561		D4A561_RAT	360487	NP_001128041.1	149051957; 197385133						ENSRNOG00000042258	ENSRNOT00000066310	ENSRNOP00000059381		10116.ENSRNOP00000059381	rno:360487	RGD1561157
Q6MG46		Q6MG46_RAT	64569	NP_072156.2; XP_006256140.1; XP_006256141.1	81863926; 260166685; 564396978; 149028094; 564396980; 46237624		GO:0005737; GO:0016021; GO:0000902; GO:0016358; GO:0006955; GO:0050672				ENSRNOG00000000855	ENSRNOT00000065940	ENSRNOP00000060414		10116.ENSRNOP00000060414	rno:64569	Lst1
A0A0G2JUD8		A0A0G2JUD8_RAT	405261	NP_001000937.1	47576761		GO:0016021; GO:0005886; GO:0004930; GO:0004984				ENSRNOG00000057764; ENSRNOG00000052842	ENSRNOT00000077975; ENSRNOT00000089920	ENSRNOP00000069059; ENSRNOP00000070252			rno:405261	Olr17
D3ZVU8		D3ZVU8_RAT	302981	NP_001100458.1	149052070; 157819423		GO:0019005; GO:0043161; GO:0006511				ENSRNOG00000015300	ENSRNOT00000020733	ENSRNOP00000020733		10116.ENSRNOP00000020733	rno:302981	Spsb3
G3V9E3		G3V9E3_RAT			149065236		GO:0003779; GO:0005516; GO:0017022; GO:0006936				ENSRNOG00000010233	ENSRNOT00000041264	ENSRNOP00000043767				Cald1
D3ZWY4		D3ZWY4_RAT	498014	NP_001102520.1	157817849; 149054605						ENSRNOG00000043295	ENSRNOT00000065589	ENSRNOP00000063842			rno:498014	RGD1565033
D3ZSM5		D3ZSM5_RAT	303499	NP_001100515.1	149054019; 157820379; 149054017; 149054018		GO:0005634; GO:0000981; GO:0001227; GO:0042826; GO:0000978; GO:0072358; GO:0048568; GO:0048144; GO:0001701; GO:0035264; GO:0000122; GO:0006357				ENSRNOG00000010492	ENSRNOT00000068083	ENSRNOP00000059769			rno:303499	Sp2
D4A4E7		D4A4E7_RAT	100360795	XP_002729571.1; XP_003754143.1	392340688; 293359506; 149023859		GO:0016021				ENSRNOG00000012340	ENSRNOT00000016492	ENSRNOP00000016492		10116.ENSRNOP00000016492	rno:100360795	Tmco2
Q5BK36		Q5BK36_RAT	500052	NP_001019492.1; XP_006236228.1; XP_008761028.1; XP_008761029.1; XP_008761030.1	149065105; 672049237; 60552122; 672049235; 66730284; 81888410; 564346011; 672049239		GO:0001669; GO:0009897; GO:0005886; GO:0004415; GO:0005975; GO:0007342; GO:0007341				ENSRNOG00000039466	ENSRNOT00000060478	ENSRNOP00000057222		10116.ENSRNOP00000057222	rno:500052	Hyal5
B1WC66		B1WC66_RAT	294456	XP_017457116.1	1046876655; 149032943; 171847435		GO:0008253				ENSRNOG00000000546	ENSRNOT00000000657	ENSRNOP00000000657		10116.ENSRNOP00000000657		Nt5dc1
Q6P792		Q6P792_RAT	25177	NP_001029098.1; NP_001258128.1; NP_001258129.1; NP_001258130.1; NP_663702.1	403310670; 76781465; 38512114; 81892284; 403310672; 403310674; 21728390; 149015816		GO:0046872; GO:0007517				ENSRNOG00000000875	ENSRNOT00000043820	ENSRNOP00000049677			rno:25177	Fhl1
D3ZM59		D3ZM59_RAT	313098	NP_001101388.1	149045519; 157817205		GO:0005737; GO:0005634; GO:0004843; GO:0008270; GO:0006281; GO:0016579; GO:0006511				ENSRNOG00000008688	ENSRNOT00000066043	ENSRNOP00000060364		10116.ENSRNOP00000060364	rno:313098	Usp45
G3V8P7		G3V8P7_RAT	108348044	XP_017445771.1	149062027; 1046846946		GO:0007165				ENSRNOG00000020133; ENSRNOG00000050223	ENSRNOT00000027335; ENSRNOT00000072261	ENSRNOP00000027335; ENSRNOP00000066064				LOC108348044
A7XYB9		A7XYB9_RAT			157092676; 296041300; 228014872; 228015026; 755161035; 228014886; 228015040; 296041286; 747019382; 291464875		GO:0016021; GO:0031966; GO:0070469; GO:0008137; GO:0006120										Nd4
D3ZHV0		D3ZHV0_RAT	499974	NP_001102687.1	149046555; 157822721		GO:0005829; GO:0005635; GO:0005654; GO:0005634; GO:0001750; GO:0046930; GO:0046872; GO:0005049; GO:0015288; GO:0006611				ENSRNOG00000010435	ENSRNOT00000013865	ENSRNOP00000013865		10116.ENSRNOP00000013865	rno:499974	Nupl2
Q4KLH7		Q4KLH7_RAT	314949	NP_001020872.1	71043766; 68533861; 149066403		GO:0000785; GO:0008278; GO:0000794; GO:0030893; GO:0016363; GO:0005654; GO:0005634; GO:0003682; GO:0006302; GO:0051321; GO:0010972; GO:0045841; GO:0045876; GO:0071168; GO:0006357; GO:0007062				ENSRNOG00000004420	ENSRNOT00000006209	ENSRNOP00000006209		10116.ENSRNOP00000006209	rno:314949	Rad21
B5DFI5		B5DFI5_RAT	291171	NP_001128446.1	149029267; 201066371; 197246134		GO:0005737; GO:0005829; GO:0005768; GO:0001650; GO:0031965; GO:0005654; GO:0005634; GO:0030904; GO:0042802; GO:0061630; GO:0004842; GO:0008270; GO:0034314; GO:0045087; GO:0072643; GO:0002820; GO:0090281; GO:0045814; GO:1900041; GO:0006469; GO:0000122; GO:0032720; GO:1902187; GO:0032897; GO:0051127; GO:0051091; GO:0070534; GO:0070206; GO:0042147				ENSRNOG00000055917	ENSRNOT00000077363	ENSRNOP00000074750		10116.ENSRNOP00000045382	rno:291171	Trim27
